title,tmdb_id,tmdb_title,year,genre_ids,original_language,popularity,vote_count,vote_average,budget,revenue,runtime,production_company_id,minhas_notas
Violet,665901,Violet,2021,[18],en,1.025,25,7.0,0,0,92,20443.0,4.0
Hot Fuzz,4638,Hot Fuzz,2007,"[80, 28, 35]",en,5.328,7691,7.562,12000000,80600000,121,443.0,3.5
The World's End,107985,The World's End,2013,"[35, 28, 878]",en,4.319,5473,6.807,20000000,46100000,109,443.0,3.0
Scott Pilgrim vs. the World,22538,Scott Pilgrim vs. the World,2010,"[28, 35, 10749]",en,8.117,7993,7.491,85000000,51691156,113,2527.0,4.0
La La Land,313369,La La Land,2016,"[35, 18, 10749, 10402]",en,12.232,17121,7.9,30000000,509183536,129,491.0,3.0
Attack the Block,59678,Attack the Block,2011,"[28, 35, 878]",en,3.713,2082,6.5,14350531,3964682,88,2452.0,3.0
Dune,438631,Dune,2021,"[878, 12]",en,20.906,13269,7.8,165000000,407573628,155,923.0,2.0
Pulp Fiction,680,Pulp Fiction,1994,"[53, 80]",en,18.503,28412,8.5,8000000,213928762,154,14.0,4.0
Once Upon a Time... in Hollywood,466272,Once Upon a Time... in Hollywood,2019,"[35, 18, 53]",en,11.381,13710,7.4,95000000,392105159,162,437.0,4.5
Inglourious Basterds,16869,Inglourious Basterds,2009,"[18, 53, 10752]",en,16.889,22618,8.216,70000000,321457747,153,33.0,4.5
Django Unchained,68718,Django Unchained,2012,"[18, 37]",en,9.772,26544,8.183,100000000,425368238,165,308.0,4.5
The Hateful Eight,273248,The Hateful Eight,2015,"[18, 9648, 37]",en,5.873,14376,7.755,44000000,155760117,188,308.0,4.5
Jackie Brown,184,Jackie Brown,1997,"[80, 18, 53]",en,5.103,6440,7.357,12000000,74727492,154,14.0,4.0
Four Rooms,5,Four Rooms,1995,[35],en,4.081,2677,5.9,4000000,4257354,98,14.0,3.0
Pitch Perfect,114150,Pitch Perfect,2012,"[35, 10402, 10749]",en,7.174,6574,7.284,17000000,115647426,112,12365.0,3.0
Pitch Perfect 2,254470,Pitch Perfect 2,2015,"[35, 10402]",en,7.352,5315,6.855,29000000,287144079,115,12365.0,3.0
The Good Dinosaur,105864,The Good Dinosaur,2015,"[12, 16, 10751]",en,7.264,5606,6.7,175000000,332207671,93,3.0,3.0
Brave,62177,Brave,2012,"[16, 12, 35, 10751, 28, 14]",en,9.205,13512,7.02,185000000,539000000,93,2.0,4.0
A Bug's Life,9487,A Bug's Life,1998,"[10751, 16, 12, 35]",en,9.431,9241,6.97,80000000,363258859,95,2.0,4.5
Onward,508439,Onward,2020,"[10751, 16, 12, 35, 14]",en,6.18,6217,7.672,200000000,141940042,103,2.0,4.5
Soul,508442,Soul,2020,"[16, 10751, 35, 14]",en,10.828,10657,8.1,150000000,121977511,101,2.0,4.0
Monsters University,62211,Monsters University,2013,"[16, 10751]",en,10.932,10737,7.038,200000000,743600000,104,3.0,3.0
WALL·E,10681,WALL·E,2008,"[16, 10751, 878]",en,11.669,19039,8.1,180000000,521311860,98,3.0,4.5
Cars,920,Cars,2006,"[16, 12, 35, 10751]",en,7.762,14190,7.0,120000000,461983149,117,3.0,3.5
