Date,Name,Year,Letterboxd URI,Rating
2021-11-29,Violet,2021,https://boxd.it/oMCE,4
2021-11-29,Hot Fuzz,2007,https://boxd.it/2416,3.5
2021-11-29,The World's End,2013,https://boxd.it/3EiO,3
2021-11-29,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2021-11-29,La La Land,2016,https://boxd.it/a5fa,3
2021-11-29,Attack the Block,2011,https://boxd.it/hFO,3
2021-11-29,Dune,2021,https://boxd.it/fA7G,2
2021-11-29,Pulp Fiction,1994,https://boxd.it/29Pq,4
2021-11-29,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,4.5
2021-11-29,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2021-11-29,Django Unchained,2012,https://boxd.it/2cCk,4.5
2021-11-29,The Hateful Eight,2015,https://boxd.it/8gw8,4.5
2021-11-29,Jackie Brown,1997,https://boxd.it/2aVO,4
2021-11-29,Four Rooms,1995,https://boxd.it/73g,3
2021-11-29,Pitch Perfect,2012,https://boxd.it/3OsE,3
2021-11-29,Pitch Perfect 2,2015,https://boxd.it/7tNa,3
2021-11-29,The Good Dinosaur,2015,https://boxd.it/3AD4,3
2021-11-29,Brave,2012,https://boxd.it/bVG,4
2021-11-29,A Bug's Life,1998,https://boxd.it/1Yyy,4.5
2021-11-29,Onward,2020,https://boxd.it/io92,4.5
2021-11-29,Soul,2020,https://boxd.it/ioLA,4
2021-11-29,Monsters University,2013,https://boxd.it/bQm,3
2021-11-29,WALL·E,2008,https://boxd.it/1VEo,4.5
2021-11-29,Cars,2006,https://boxd.it/29ho,3.5
2021-11-29,"Monsters, Inc.",2001,https://boxd.it/2a46,4
2021-11-29,Finding Nemo,2003,https://boxd.it/72i,4.5
2021-11-29,Incredibles 2,2018,https://boxd.it/7IPg,4.5
2021-11-29,Inside Out,2015,https://boxd.it/4KHC,4
2021-11-29,Coco,2017,https://boxd.it/bYJQ,4.5
2021-11-29,Toy Story 3,2010,https://boxd.it/1WRe,4.5
2021-11-29,Spider-Man 2,2004,https://boxd.it/2a88,2
